municipio,region,codigo_partido,PBG2021,bienes_2021,servicios_2021,agro_2021,industria_2021,PBG2022,bienes_2022,servicios_2022,agro_2022,industria_2022,poblacion,tipo,codigo_indec,PBG_per_capita,Peso_Agro,Peso_Industria,Peso_Servicios,Variacion_Total,Variacion_Bienes,Variacion_Servicios,Agroindustrial
JUNIN,Interior,413,1646216777.220822,586911858.2206464,825479327.353213,289781337.2404533,212321295.39517418,1716138231.7664094,593342388.3473518,878765721.8277231,281252472.4890098,214885153.81219763,103787,I,06413,16535.194501877973,16.388684039718555,12.521436201034795,51.205998768713144,4.2474026211560165,1.0956551714938914,6.455206412662781,Resto
LA COSTA,Interior,420,1040358186.9686214,264142680.13347337,611572817.075319,320522.94457030063,37401944.9531373,1146017690.3124743,288539873.9371886,679837209.8477073,354129.5188063138,42829399.06573803,100689,I,06420,11381.75660014971,0.0309008771679394,3.737237167260492,59.32170293657005,10.156069771673717,9.236369446765348,11.16210381927113,Resto
LA MATANZA,AMBA,427,18191369230.548576,5136050382.895181,9232924764.553413,2983800.63299778,4847013441.457022,18812000795.189453,5422626606.391589,9390682827.781126,3079867.4953792067,5118462311.261929,1841247,C,06427,10216.989244348777,0.016371823119244077,27.208495082409343,49.91857554132404,3.4116814230709838,5.579700394894998,1.7086466883535059,Resto
LA PLATA,Interior,441,8099973355.086713,1367047414.5545895,5332911902.614728,90138933.78928918,924725841.7592968,8477417474.203256,1421964392.395336,5581820920.477389,88047155.40229973,971031210.3464245,768547,I,06441,11030.447681408235,1.0386082279211426,11.454328081650669,65.84341207051375,4.659819268164767,4.017196276885496,4.667412895769405,Resto
LANUS,AMBA,434,6051940354.647596,1740289523.7933052,3203638758.181203,0,1522405154.185102,6330226080.282104,1821251175.7572708,3343248348.7686944,0,1600391188.9921541,461267,C,06434,13723.561582081753,0,25.281738261721507,52.814043390685725,4.5982892977588135,4.6521944111629034,4.357844349053632,Resto
LAPRIDA,Interior,448,227620893.58183214,96061553.65031262,105091860.50126795,84777015.27885237,4240218.706916923,231931369.55164573,94885873.87302102,109278126.73585878,82689765.78033611,4558378.309606761,11646,I,06448,19915.109870483062,35.652687232514715,1.9653996431869971,47.1165789031074,1.8937083946838664,-1.2238817014883558,3.98343526760602,Resto
LAS FLORES,Interior,455,390600504.7174112,151719524.3373692,181421500.26428178,93803148.48945738,36427696.20913763,445846117.98156285,186334592.92039052,192845107.88598782,100430547.16718325,58426262.6472702,27239,I,06455,16367.932669391786,22.525831921976355,13.10458032286519,43.25373713222789,14.143763921687793,22.815170779239956,6.296722056131687,Resto
LEANDRO N ALEM,Interior,462,399096489.35725176,233058893.5232024,118198072.06778145,201086162.0945176,25072829.641546156,387761990.02937263,215007727.71121758,123856968.18263383,175119296.5101735,27369668.516313523,17266,I,06462,22458.125218891037,45.16154265066268,7.058368076314106,31.941492814510205,-2.840039847539986,-7.7453237416094165,4.787638254883931,Resto
LEZAMA,Interior,466,110759445.27369216,45904483.60065184,51845442.8117522,40121679.085020274,2048369.2365033382,110190194.86779036,43940122.485297695,52786736.87702315,37371792.256148726,2228537.094773829,6221,I,06466,17712.61772509088,33.91571482470702,2.022445914945243,47.90511255593869,-0.5139520196179731,-4.279235842065435,1.815577250808209,Resto
LINCOLN,Interior,469,1034090652.2765495,568722621.9351811,342215136.9552109,467725908.5366322,76536275.33098076,1030660601.0880367,555506262.0741711,346675362.000823,451065125.0901873,79336815.900965,45506,I,06469,22648.89467516452,43.76466167562937,7.69766650798639,33.63622919463969,-0.3316973401666042,-2.32386744456182,1.3033394972811652,Resto
